# Middle Chinese (Baxter) + Old Chinese (Baxter–Sagart) reconstructions, char-keyed.
# Source: Wiktionary, 'Appendix:Baxter-Sagart Old Chinese reconstruction'
#   https://en.wiktionary.org/wiki/Appendix:Baxter-Sagart_Old_Chinese_reconstruction
#   (Baxter & Sagart, Old Chinese reconstruction, Version 1.00). MC = Baxter's Middle
#   Chinese transcription with X/H tone letters; OC = Baxter–Sagart Old Chinese (*).
# Columns: char <TAB> MiddleChinese <TAB> OldChinese  (blank field = not attested in source)
# First-listed reading kept per character (polyphones collapse to their most common reading).
㐱	tsyinX	*tənʔ
㓠	temX	*tˁemʔ
㓷	ngjejH	*ŋ‹r›at-s
㘣	zjwen	*s-ɢʷen
㝌	kjuwH	*kʷə-s
㠯	yiX	*ləʔ
㡿	tsyhek	*t-qʰak
㦤	ʔijH	*q‹r›it-s
㬰	gwijH	*ɡruj-s
㯟	luwk	*rˁok
㳽	mejX	*m.nˁerʔ
㴑	suH	*s-ŋˁak-s
㷉	ʔjwɨjH	*ʔut-s
㸐	nyen	*C.nan
㸒	yim	*N.rəm
䀠	kjuH	*kʷak-s
䆫	tsrhæwng	*s-l̥ˁ‹r›oŋ
䍃	yew	*law
䑣	yuwng	*m.rum (dial. › -um › -uŋ)
䖒	xje	*ŋ̊ar
䖟	mæng	*mˁraŋ
䘳	kim	*k‹r›əm
䜌	lwan	*mə.rˁon
䞓	trhjeng	*t-kʰreŋ
䟏	lek	*rˁewk
䡅	trhwin	*l̥run
䭫	khejX	*kʰˁijʔ
䯄	kwæ	*kˁroj
䰞	tsyoX	*taʔ
䱷	ngjo	*ŋa
䲣	ngjo	*ŋa
䴗	kwek	*kʷˁek
䵑	nrit	*n‹r›ik
䵒	nrit	*n‹r›ik
一	ʔjit	*ʔit
丁	teng	*tˁeŋ
七	tshit	*tsʰit
万	mjonH	*C.man-s
丈	drjangX	*draŋʔ
三	sam	*srum
上	dzyangH	*daŋʔ-s
下	hæH	*m-ɡˁraʔ-s
丌	gi	*ɡə
不	pjuw	*pə
与	yoX	*C.ɢaʔ
丑	trhjuwX	*n̥ruʔ
专	tsywen	*ton
且	tsjo	*tsa
丕	phij	*pʰrə
世	syejH	*l̥ap-s
丘	khjuw	*kʷʰə
丙	pjængX	*praŋʔ
业	ngjæp	*m-qʰap
东	tuwng	*tˁoŋ
丝	si	*sə
丞	dzying	*m-təŋ
两	ljangX	*p.raŋʔ
严	ngjæm	*ŋram
並	bengX	*bˁeŋʔ
丧	sang	*s-mˁaŋ
丩	kjiw	*kriw
