# Gwoyeu Romatzyh (國語羅馬字) base-syllable table: toneless pinyin -> toneless GR base.
# Source: kungming2/Gwoyeu-Romatzyh-Converter, _database_romanization_chinese.csv
#   https://github.com/kungming2/Gwoyeu-Romatzyh-Converter
# The tonal-spelling rules (which encode tone INTO the spelling) are ported in app/translit.py
# from that repo's gr_converter.py. Columns: pinyin_base <TAB> gr_base
a	a
ai	ai
an	an
ang	ang
ao	au
ba	ba
bai	bai
ban	ban
bang	bang
bao	bau
bei	bei
ben	ben
beng	beng
bi	bi
bian	bian
biang	biang
biao	biau
bie	bie
bin	bin
bing	bing
bo	bo
bu	bu
ca	tsa
cai	tsai
can	tsan
cang	tsang
cao	tsau
ce	tse
cen	tsen
ceng	tseng
cha	cha
chai	chai
chan	chan
chang	chang
chao	chau
che	che
chen	chen
cheng	cheng
chi	chy
chong	chong
chou	chou
chu	chu
chuai	chuai
chuan	chuan
chuang	chuang
chui	chuei
chun	chuen
chuo	chuo
ci	tsy
cong	tsong
cou	tsou
cu	tsu
cuan	tsuan
cui	tsuei
cun	tsuen
cuo	tsuo
da	da
dai	dai
dan	dan
dang	dang
dao	dau
de	de
deng	deng
di	di
dian	dian
diao	diau
die	die
ding	ding
diu	diou
dong	dong
dou	dou
du	du
duan	duan
duang	duang
dui	duei
dun	duen
duo	duo
e	e
en	ei
eng	en
er	el
fa	fa
fan	fan
fang	fang
fei	fei
fen	fen
feng	feng
fiao	fiau
fo	fo
fou	fou
fu	fu
ga	ga
gai	gai
gan	gan
gang	gang
gao	gau
ge	ge
gei	gei
gen	gen
geng	geng
gong	gong
gou	gou
gu	gu
gua	gua
guai	guai
guan	guan
guang	guang
gui	guei
gun	guen
guo	guo
ha	ha
hai	hai
han	han
hang	hang
hao	hau
he	he
hei	hei
hen	hen
heng	heng
hong	hong
hou	hou
hu	hu
hua	hua
huai	huai
huan	huan
huang	huang
hui	huei
hun	huen
huo	huo
ji	ji
jia	jia
jian	jian
jiang	jiang
jiao	jiau
jie	jie
jin	jin
jing	jing
jiong	jiong
jiu	jiou
ju	jiu
juan	jiuan
jue	jiue
jun	jiun
ka	ka
kai	kai
kan	kan
kang	kang
kao	kau
ke	ke
ken	ken
keng	keng
kong	kong
kou	kou
ku	ku
kua	kua
kuai	kuai
kuan	kuan
kuang	kuang
kui	kuei
kun	kuen
kuo	kuo
la	la
lai	lai
lan	lan
lang	lang
lao	lau
le	le
lei	lei
leng	leng
li	li
lia	lia
lian	lian
liang	liang
liao	liau
lie	lie
lin	lin
ling	ling
liu	liou
long	long
lo	lo
lou	lou
lu	lu
lü	liu
luan	luan
lue	liue
lun	luen
luo	luo
ma	ma
mai	mai
man	man
mang	mang
mao	mau
mei	mei
men	men
meng	meng
mi	mi
mian	mian
miao	miau
mie	mie
min	min
ming	ming
miu	miou
mo	mo
mou	mou
mu	mu
na	na
nai	nai
nan	nan
nang	nang
nao	nau
nei	nei
nen	nen
neng	neng
ni	ni
nian	nian
niang	niang
niao	niau
nie	nie
nin	nin
ning	ning
niu	niou
nong	nong
nou	nou
nu	nu
nü	niu
nuan	nuan
nue	niue
nüe	nuen
nuo	nuo
ou	ou
pa	pa
pai	pai
pan	pan
pang	pang
pao	pau
pei	pei
pen	pen
peng	peng
pi	pi
pian	pian
piao	piau
pie	pie
pin	pin
ping	ping
po	po
pou	pou
pu	pu
qi	chi
qia	chia
qian	chian
qiang	chiang
qiao	chiau
qie	chie
qin	chin
qing	ching
qiong	chiong
qiu	chiou
qu	chiu
quan	chiuan
que	chiue
qun	chiun
ran	ran
rang	rang
rao	rau
re	re
ren	ren
reng	reng
ri	ry
rong	rong
rou	rou
ru	ru
ruan	ruan
rui	ruei
run	ruen
ruo	ruo
sa	sa
sai	sai
san	san
sang	sang
sao	sau
se	se
sen	sen
seng	seng
sha	sha
shai	shai
shan	shan
shang	shang
shao	shau
she	she
shen	shen
sheng	sheng
shi	shy
shou	shou
shu	shu
shua	shua
shuai	shuai
shuan	shuan
shuang	shuang
shui	shuei
shun	shuen
shuo	shuo
si	sy
song	song
sou	sou
su	su
suan	suan
sui	suei
sun	suen
suo	suo
ta	ta
tai	tai
tan	tan
tang	tang
tao	tau
te	te
teng	teng
ti	ti
tian	tian
tiao	tiau
tie	tie
ting	ting
tong	tong
tou	tou
tu	tu
tuan	tuan
tui	tuei
tun	tuen
tuo	tuo
wa	ua
wai	uai
wan	uan
wang	uang
wei	uei
wen	uen
weng	ueng
wo	uo
wu	u
xi	shi
xia	shia
xian	shian
xiang	shiang
xiao	shiau
xie	shie
xin	shin
xing	shing
xiong	shiong
xiu	shiou
xu	shiu
xuan	shiuan
xue	shiue
xun	shiun
ya	ia
yai	iai
yan	ian
yang	iang
yao	iau
ye	ie
yi	i
yin	in
ying	ing
yo	io
yong	iong
you	iou
yu	iu
yuan	iun
yue	iue
yun	iun
za	tza
zai	tzai
zan	tzan
zang	tzang
zao	tzau
ze	tze
zei	tzei
zen	tzen
zeng	tzeng
zha	ja
zhai	jai
zhan	jan
zhang	jang
zhao	jau
zhe	je
zhen	jen
zheng	jeng
zhi	jy
zhong	jong
zhou	jou
zhu	ju
zhua	jua
zhuai	juai
zhuan	juan
zhuang	juang
zhui	juei
zhun	juen
zhuo	juo
zi	tzy
zong	tzong
zou	tzou
zu	tzu
zuan	tzuan
zui	tzuei
zun	tzuen
zuo	tzuo
